,Year,Month,PE,Value,m_earnings,prev_m,EPS_growth,DATE,GS10,final_EPS_growth
133,2012,9,43.77433026,156.4210526,3.573351133,3.585182968,-0.038891467,30/09/2012,0.0175,-0.056391467
134,2012,10,43.1579881,153.28,3.551602073,3.573351133,-0.070641484,31/10/2012,0.0165,-0.087141484
135,2012,11,40.61867919,145.8933333,3.591779355,3.551602073,0.144522113,30/11/2012,0.0172,0.127322113
136,2012,12,41.00744095,147.0315,3.585483429,3.591779355,-0.020832842,31/12/2012,0.0191,-0.039932842
137,2013,1,54.99879624,147.7309524,2.686076105,3.585483429,-0.968750208,31/01/2013,0.0198,-0.988550208
138,2013,2,82.60517137,151.1931579,1.830311049,2.686076105,-0.989979738,28/02/2013,0.0196,-1.009579738
139,2013,3,71.386096,156.407,2.191000892,1.830311049,7.657885417,31/03/2013,0.0176,5
140,2013,4,75.39304927,163.9863636,2.175085969,2.191000892,-0.083765859,30/04/2013,0.0193,-0.103065859
141,2013,5,78.43587455,164.4318182,2.096385348,2.175085969,-0.357406591,31/05/2013,0.023,-0.380406591
142,2013,6,75.0960017,157.525,2.097648296,2.096385348,0.007253289,30/06/2013,0.0258,-0.018546711
143,2013,7,75.60405495,159.1727273,2.105346431,2.097648296,0.044938518,31/07/2013,0.0274,0.017538518
144,2013,8,73.21654705,153.2613636,2.093261289,2.105346431,-0.066748959,31/08/2013,0.0281,-0.094848959
145,2013,9,72.31969535,150.7545,2.084556624,2.093261289,-0.048775439,30/09/2013,0.0262,-0.074975439
146,2013,10,70.4876423,153.7926087,2.181837889,2.084556624,0.728643319,31/10/2013,0.0272,0.701443319
147,2013,11,69.6938159,157.769,2.263744609,2.181837889,0.556178448,30/11/2013,0.029,0.527178448
148,2013,12,68.12327319,153.632381,2.25521138,2.263744609,-0.044308101,31/12/2013,0.0286,-0.072908101
149,2014,1,47.92774624,150.727619,3.144892695,2.25521138,53.07828729,31/01/2014,0.0271,5
150,2014,2,14.72000789,146.7257895,9.967779265,3.144892695,1027804.561,28/02/2014,0.0272,5
151,2014,3,14.680751,149.4571429,10.18048347,9.967779265,0.288367888,31/03/2014,0.0271,0.261267888
152,2014,4,14.9259951,155.1295238,10.39324499,10.18048347,0.281719942,30/04/2014,0.0256,0.256119942
153,2014,5,14.09870671,158.6838095,11.25520324,10.39324499,1.601513736,31/05/2014,0.026,1.575513736
